Company,Ticker
Amphenol Corporation,APH
"Advanced Semiconductor Engineering Technology Holding Co., Ltd.",ZIM
3M,MMM
Alpha and Omega Semiconductor Limited,AOSL
"Baotou Inst Magnetic New Materials Co., Ltd.",301622.SZ
Analog Devices Incorporated,ADI
AT & S Austria Technologie & Systemtechnik AG,AUS.HA
"Baoji Titanium Industry Co., Ltd.",600456.SS
Alps Alpine Company Limited,ALE.F
Amkor Technology Incorporated,AMKR
"Beijing Zhong Ke San Huan High-Tech Co., Ltd.",000970.SZ
AGC Incorporated,AGCO
"Bichamp Cutting Technology (Hunan) Co., Ltd",002843.SZ
BOE Technology Group Company Limited,000725.SZ
BYD Company Limited,BYDDY
AKM Meadville Electronics (Xiamen) Company Limited,AKM.AX
AAC Acoustic Technologies Holdings Incorporated,AACG
Broadcom Limited,AVGO
Boyd Corporation,BYD
Career Technology (Mfg.) Company Limited,6153.TW
Catcher Technology Company Limited,2474.TW
Bumchun Precision Company Limited,
Biel Crystal Manufactory Limited,BIEL
Cathay Tat Ming (HK) Company Limited,CATY
Cirrus Logic Incorporated,CRUS
Cheng Uei Precision Industry Company Limited (Foxlink),
CN Innovations Holdings Limited,
Corning Incorporated,GLW
China Circuit Technology (Shantou) Corporation,
Coherent Corporation,COHR
Chengdu Homin Technology Company Limited,000790.SZ
Compal Electronics Incorporated,2324.TW
Compeq Manufacturing Company Limited,2313.TW
"Crystal-Optech Co., Ltd.",002273.SZ
Dexerials Corporation,4980.T
Diodes Incorporated,DIOD
Dynapack International Technology Corporation,3211.TWO
Flex Limited,FRX.XA
Cosmosupplylab Limited,
Derkwoo Electronics Company Limited,263600.KQ
Delta Electronics Incorporated,DAL
Cowell E Holdings Incorporated,1415.HK
Flexium Interconnect Incorporated,6269.TW
Global Lighting Technologies,4935.TW
General Interface Solution Limited,6456.TW
CymMetrik Enterprise Company Limited,
Fujikura Limited,5121.T
Fujian Nanping Aluminium Company Limited,300706.SZ
Genius Electronic Optical Company Limited,3406.TW
"Henkel AG & Company, KGaA",MKGAF
GigaDevice Semiconductor Incorporated,603986.SS
GoerTek Incorporated,002241.SZ
Infineon Technologies AG,IFX.DE
Intel Corporation,INTC
Hirose Electric Company Limited,HRO.F
Golden Arrow Printing Company Limited,AUMN
Hama Naka Shoukin Industry Company Limited,9037.T
Japan Aviation Electronics Industry Limited,JPAVF
INB Electronics Limited,BUD
Hi-P International Limited,HIK.L
Hon Hai Precision Industry Company Limited (Foxconn),HON
IDEMIA Group,
Interplex Holdings Pte. Ltd.,
"Jiangsu Kangrui New Material Technology Co.,Ltd.",ZIM
Jabil Incorporated,JBL
"Jiuquan Iron & Steel (Group) Co., Ltd.",ZIM
Jones Tech PLC,300684.SZ
Japan Display Incorporated,JNNDF
J.Pond Industry (Dongguan) Company Limited,301326.SZ
JCET Group Company Limited,600584.SS
Keiwa Inc.,4251.T
Kioxia Holdings Corporation,285A.T
Knowles Corporation,KN
Kyocera Corporation,6971.T
JX Nippon Mining & Metals Corporation (Eneos Holding),
LG Energy Solution,373220.KS
Lingyi iTech (Guangdong) Company,002600.SZ
Lite-On Technology Corporation,2301.TW
Largan Precision Company Limited,3008.TW
Lens Technology Company Limited,300433.SZ
Kam Kiu Aluminium Products Group Limited,KMDA
LG Innotek Company Limited,011070.KS
LG Display Company Limited,LPL
Kunshan Kersen Science and Technology Company Limited,300260.SZ
"LX Semicon Co., Ltd.",108320.KS
Lumentum Holdings Incorporated,LITE
MicroChip Technology Incorporated,MCHP
Luen Fung Group,600167.SS
Luxshare Precision Industry Company Limited,002475.SZ
Lumileds Holding B.V.,
Micron Technology Incorporated,MU
Nichia Corporation,5393.T
Nidec Corporation,NJDCY
Murata Manufacturing Company Limited,6981.T
Nitto Denko Corporation,NDEKF
Marian Incorporated,
Nissha Company Limited,7915.T
MinebeaMitsumi Incorporated,
Nordic Semiconductor ASA,NOD.OL
NOK Corporation,NOK
Molex Incorporated,
NXP Semiconductors N.V.,NXPI
ON Semiconductor Corporation,ON
Nanofilm Technologies International Private Limited,MZH.SI
Nan Ya PCB Corporation,NAN
Pegatron Corporation,4938.TW
POSCO International,047050.KS
Parade Technologies Limited,PARADEEP.NS
Paishing Technology Company,
Qualcomm Incorporated,QCOM
Power Integrations Incorporated,POWI
Primax Electronics Limited,4915.TW
Qorvo Incorporated,QRVO
Pioneer Material Precision Tech Company Limited,PPSI
Phone In Mag-Electronics Company Limited,MLPHW.PA
Platinum Optics Technology Incorporated,
Renesas Electronics Corporation,6723.T
Radiant Opto-Electronics Corporation,6176.TW
Quanta Computer Incorporated,2382.TW
Quadrant Solutions,
"San'an Optoelectronics Co., Ltd.",600703.SS
Shanghai Industrial Holdings Limited,SGI.F
Robert Bosch GmbH,RHI
Samsung Electro-Mechanics Company Limited,009155.KS
R.R. Donnelley and Sons Company,
Rohm Company Limited,ROM.F
Samsung Electronics Company Limited,005930.KS
Samsung SDI Company Limited,006405.KS
Sharp Corporation,6753.T
"Shenzhen BSC technology Co., Ltd.",300951.SZ
SABIC - Saudi Arabian Oil Company,2020.SR
"Shenzhen Forceblack Technology Co., Ltd",ZIM
"Shenzhen Linkconn Electronics Co., Ltd.",ZIM
Shandong Innovation Group,002476.SZ
Shenzhen Desay Battery Technology Company Limited,000049.SZ
Shenzhen Everwin Precision Technology Company Limited,300115.SZ
Shin Zu Shing Company Limited,3376.TW
Solvay S.A.,SOL.F
Shenzhen Sunway Communication Company Limited,300136.SZ
Shenzhen YUTO Packaging Technology Company Limited,002831.SZ
STMicroelectronics N.V.,STM
SK hynix Incorporated,000660.KS
Simplo Technology Company Limited,6121.TWO
Stora Enso Oyj,STE-A.ST
Skyworks Solutions Incorporated,SWKS
Sony Corporation,SONY
Sumida Corporation,6817.T
Sumitomo Chemical Company Limited,SMM.F
"Sunny Optical Technology Co., Ltd.",ZIM
Sunrex Technology Corporation,2387.TW
Synaptics Incorporated,SYNA
Taiwan Semiconductor Manufacturing Company Limited,TSM
Sumitomo Electric Industries Limited,SMO.F
Suzhou Dongshan Precision Manufacturing Company Limited,002384.SZ
Suzhou Anjie Technology Company Limited,002635.SZ
Sunwoda Electronic Company Limited,300207.SZ
TDK Corporation,TTDKY
Taiyo Yuden Company Limited,TYC1.F
Taiwan Surface Mounting Technology Corporation,6278.TW
Texas Instruments Incorporated,TXN
Tongda Group Holdings Limited,TJC.SG
Suzhou Zhongjiemai Panel Industry Technology Company Limited,688170.SS
"Toyoda Gosei Co., Limited",11T.F
Tata Electronics,TATAMOTORS.NS
Taiwan Hodaka Technology Company Limited,TSM
TXC Corporation,3042.TW
Tripod Technology Corporation,3044.TW
TPK Holding Company Limited,3673.TW
Trinseo S.A.,TSE
Western Digital Corporation,WDC
Unimicron Technology Corporation,3037.TW
Unitech Printed Circuit Board Corporation,2367.TW
"Wingtech Technology Co., Ltd.",600745.SS
VARTA Microbattery GmbH,VARTY
Winbond Electronics Corporation,2344.TW
Viavi Solutions Incorporated,VIAV
Wistron Corporation,3231.TW
Young Poong Corporation,000670.KS
Yageo Corporation,2327.TW
Unisteel Technology Limited (SFS Group),
"Zhejiang Tony Electronic Co., Ltd.",603595.SS
Tsujiden Company Limited,
Zhen Ding Technology Holding Limited,4958.TW
United Test and Assembly Center Limited,UPS
"Zhuhai CosMX Battery Co., Ltd.",688772.SS
Zhenghe Group,
